,wavelength,intensity,acqTime,time,n
91,198.81514081826128,3042.326595107067,11,1610560297.524423,1
92,199.03241897752895,3124.4551299515065,11,1610560297.524423,1
93,199.2496861229222,3154.8069797853213,11,1610560297.524423,1
94,199.4669422522391,3120.884324088705,11,1610560297.524423,1
95,199.6841873632775,3110.1719065003,11,1610560297.524423,1
96,199.90142145383533,3149.4507709911186,11,1610560297.524423,1
97,200.11864452171056,3151.2361739225194,11,1610560297.524423,1
98,200.33585656470115,3124.4551299515065,11,1610560297.524423,1
99,200.55305758060496,3153.02157685392,11,1610560297.524423,1
100,200.77024756722,3086.9616683920885,11,1610560297.524423,1
101,200.98742652234415,3128.0259358143085,11,1610560297.524423,1
102,201.20459444377536,3094.103280117692,11,1610560297.524423,1
103,201.4217513293116,3140.5237563341143,11,1610560297.524423,1
